source_id	type	system	version	path	status	priority	description
SRC-BUILD-RECREATE	code	PlayOS	2026-08-21	start	current	critical	Entrada segura para primeira abertura, inventário e validação local
SRC-KERNEL-OVERLAYS	audit	PlayOS kernels	2026-08-22	Kernels/RELATORIO_DIFERENCAS_KERNELS_2026-08-22.md	current	critical	Auditoria integral e configuração dos overlays contra baselines externos
SRC-FBSD-SOURCE	code	FreeBSD	15.1-RELEASE-p2	/home/marcel/Parcel Suite/Operating Systems/freebsd-15.1.0-p2/sys	current	critical	Árvore completa do kernel FreeBSD usada como fonte primária
SRC-FBSD-INVENTORY	report	FreeBSD	15.1-RELEASE-p2	patch-linux7.1.8-FreeBSD/INVENTARIO_FREEBSD_15.1_P2.md	current	critical	Inventário completo da árvore FreeBSD
SRC-FBSD-PORTABILITY	report	FreeBSD/Linux	15.1/6.8	PORTABILIDADE_FREEBSD15_SYS_KERN_PARA_UBUNTU.md	current	critical	Auditoria por família de portabilidade sys/kern
SRC-FBSD-INTEGRATION	report	FreeBSD/Linux	15.1/6.8	INTEGRACAO_SYS_KERN_FREEBSD_NO_UBUNTU_2026-08-18.md	current	critical	Decisão de integração em camadas
SRC-FBSD-STUDIES	report	FreeBSD/Linux	15.1/host	RESULTADOS_ESTUDOS_FREEBSD15_SYS_KERN_2026-08-18.md	current	high	Resultados de estudos e experimentos executados
SRC-FBSD-STUDY-KIT	code	FreeBSD/Linux	15.1	studies/freebsd15_sys_kern/README.md	current	high	Índice do kit de estudos reproduzíveis
SRC-FBSD-LINUX-REVERSE	report	Linux/FreeBSD	7.1.8/15.1	patch-linux7.1.8-FreeBSD/ANALISE_COMPARATIVA.md	current	high	Análise invertida Linux para FreeBSD
SRC-OPENBSD-FREEBSD	report	OpenBSD/FreeBSD	comparative	COMPARACAO_OPENBSD_FREEBSD.md	current	high	Comparação extensa OpenBSD e FreeBSD
SRC-OPENBSD-NOTES	note	OpenBSD	unspecified	OPENBSD_TECH.md	experimental	low	Notas conceituais OpenBSD sem árvore auditada
SRC-NETBSD-NOTES	note	NetBSD	unspecified	NETBSD_TECH.md	experimental	low	Notas conceituais NetBSD sem árvore auditada
SRC-BSD-TRIAD	note	BSD family	unspecified	INTEGRACAO_TRIADE_BSD.md	experimental	low	Proposta conceitual da tríade BSD
SRC-PLAYOS-ARCH	report	PlayOS	2026-08-18	PLAYOS_ARQUITETURA_LINUX_FREEBSD_2026-08-18.md	current	critical	Arquitetura e fronteiras Linux/FreeBSD do PlayOS
SRC-PLAYOS-UNIFIED	report	PlayOS	2026-08-18	PLAYOS_UNIFICADO_UBUNTU_FREEBSD_2026-08-18.md	current	high	Proposta de host Linux e FreeBSD Core virtualizado
SRC-FBSD-COMPAT	report	FreeBSD	15.x	freebsd-compatibility/README.md	current	high	Arquitetura de compatibilidade em camadas
SRC-FBSD-COMPAT-MATRIX	matrix	FreeBSD	15.x	freebsd-compatibility/COMPATIBILITY_MATRIX.md	current	high	Matriz de roteamento de cargas
SRC-FBSD-LIVECD	report	FreeBSD	15.x	LIVE_CD_FREEBSD.md	current	high	Análise Live CD e instaladores
SRC-KERNEL-TRANSPARENCY	report	Multiple	2026-08-18	TRANSPARENCIA_KERNEL.md	current	medium	Identidade e links de fontes de kernels
SRC-NOBLE-BUILD	result	Ubuntu Noble	6.8.4	patch-FreeBSD-Noble/results/BUILD_GENERIC_PROD_6.8.4_2026-08-18.md	current	critical	Build Generic completo com patches PlayOS
SRC-LINUX718-BUILD	result	Linux	7.1.8	patch-FreeBSD-Kernel-7.1.8/results/BUILD_PLAYOS_7.1.8_2026-08-18.md	current	critical	Build vanilla 7.1.8 com adaptações PlayOS
SRC-NOBLE-MANIFEST	manifest	Ubuntu Noble	6.8.4	patch-FreeBSD-Noble/MANIFEST.md	current	high	Manifesto do patchset Noble
SRC-LINUX718-MANIFEST	manifest	Linux	7.1.8	patch-FreeBSD-Kernel-7.1.8/MANIFEST.md	current	high	Manifesto do patchset Linux 7.1.8
SRC-FBSD-PATCH-MANIFEST	manifest	FreeBSD	15.1	patch-linux7.1.8-FreeBSD/MANIFEST.md	current	high	Manifesto do patchset Linux para FreeBSD
SRC-RESOLUTE-VERIFY	report	Ubuntu Resolute	7.0	VERIFICACAO_KERNEL_UBUNTU_RESOLUTE_2026-08-18.md	current	critical	Correção de identidade Resolute versus Noble local
SRC-PROJECT-AUDIT	report	PlayOS	2026-08-18	AUDITORIA_COMPLETA_DIRECAO_2026-08-18.md	current	high	Auditoria de direção e propostas
SRC-PROGRESS	log	PlayOS	continuous	PROGRESSO.md	current	medium	Registro cronológico; não substitui fontes primárias
SRC-DOC-PORTAL	result	PlayOS Documentation	2026-08-19	supervised_learning/HTML_PORTAL_STATUS.md	current	high	Estado e validação do portal documental gerado
SRC-NTSYNC-NOBLE	result	Ubuntu Noble/Linux	6.8.4/7.1.8	patch-Linux7.1.8-Noble/results/VALIDACAO_NTSYNC_2026-08-19.md	current	critical	Backport NTSYNC compilado com BTF; runtime e boot pendentes
SRC-PLAYOS-KERNEL1	result	PlayOS Kernel	6.8.4-playos-kernel1+	patch-Linux7.1.8-Noble/results/BUILD_PLAYOS_KERNEL1_2026-08-19.md	current	critical	bzImage com mseal e NTSYNC; módulos globais e runtime pendentes
SRC-PLAYOS-KERNEL2-MIGRATION	report	PlayOS Kernel/Linux	7.1.8	patch-Noble-PlayOS-Kernel-7.1.8/ANALISE_MIGRACAO_NOBLE_PARA_7.1.8.md	current	critical	Forward-port do perfil Noble para uma base Linux 7.1.8 reproduzível
SRC-LIVE-RESOLUTE-XFCE	report	Ubuntu Resolute/Knoppix	26.04/9.1	LIVE_CD_RESOLUTE_XFCE_MINIMAL_KNOPPIX.md	current	critical	Arquitetura e procedimento proposto para Live ISO mínima com kernel Resolute e XFCE 4.20
SRC-LIVE-LOCAL-KERNEL	audit	Ubuntu Noble/PlayOS	6.8.0-30.30	AUDITORIA_KERNEL_LOCAL_LIVE_RESOLUTE_XFCE_2026-08-26.md	current	critical	Identidade, configuração Live e pipeline de empacotamento da fonte local escolhida
SRC-LIVE-FEDORA-KNOPPIX	analysis	Ubuntu/Fedora/Knoppix	2026-08-26	COMPARACAO_FEDORA_KNOPPIX_LIVE_XFCE_KERNEL_LOCAL_2026-08-26.md	current	critical	Comparação de pipelines e perfil live-build corrigido para XFCE com kernel local
SRC-GRAPHICS-STACK	architecture	PlayOS/Linux graphics	2026-08-26	ARQUITETURA_PLAYOS_GRAPHICS_KERNEL_STACK_2026-08-26.md	current	critical	Separação kernel/userspace e distribuição integrada de X11 Wayland XFCE
SRC-GRAPHICS-STACK-MANUAL	manual	PlayOS/Linux graphics	1.0	MANUAL_PLAYOS_GRAPHICS_KERNEL_STACK_X11_WAYLAND.md	current	critical	Manual geral e específico de uso build diagnóstico segurança e validação do Graphics Stack
SRC-LIVE-SIZE-NOBLE	measurement	Ubuntu Noble amd64	2026-08-26	MEDICAO_TAMANHO_ISO_NOBLE_X11_WAYLAND_XFCE_2026-08-26.md	current	critical	Tamanhos APT cumulativos e marginais de Noble kernel X11 Wayland e XFCE
SRC-GRAPHICS-UNIFIED-PRODUCT	architecture	PlayOS Graphics Platform	1.0 proposal	PROJETO_SOFTWARE_UNICO_PLAYOS_GRAPHICS_PLATFORM.md	current	critical	Produto instalável único coordenando kernel X11 Wayland e XFCE por metapacotes
SRC-GRAPHICS-PLATFORM-BOOT	architecture	PlayOS Graphics Platform	2026-08-26	INICIALIZACAO_PLAYOS_GRAPHICS_PLATFORM.md	current	critical	Cadeia de boot UEFI GRUB kernel initramfs systemd LightDM e sessões XFCE
SRC-FREEDESKTOP-SOFTWARE-ANALYSIS	analysis	freedesktop.org/PlayOS	2026-08-26	ANALISE_SOFTWARE_FREEDESKTOP_PLAYOS_GRAPHICS_PLATFORM_2026-08-26.md	current	critical	Classificação completa do catálogo freedesktop para core standard perfis testes e exclusões PlayOS
SRC-PLAYOS-DESKTOP-COMPONENTS-MANUAL	manual	PlayOS desktop stack	2026-08-26	MANUAL_COMPONENTES_BASE_PLAYOS_DESKTOP.md	current	critical	Uso integração configuração diagnóstico segurança e gates dos componentes-base do desktop PlayOS
SRC-PLAYOS-MULTI-DESKTOP	architecture	PlayOS XFCE GNOME KDE	2026-08-26	ARQUITETURA_MULTI_DESKTOP_PLAYOS_XFCE_GNOME_KDE.md	current	critical	Arquitetura compartilhada sessões display managers portals pacotes conflitos testes e gates dos três desktops
SRC-PLAYOS-GRAPHICS-KERNEL-NODE	architecture	PlayOS Linux kernel	2026-08-26	KERNEL_GRAFICO_PLAYOS_SEM_DESKTOPS.md	current	critical	Kernel DRM KMS drivers dma-buf input e console sem desktops nem servidores gráficos userspace
SRC-PLAYOS-GRAPHICS-CORE-NODE	architecture	PlayOS Graphics Core	2026-08-26	PLAYOS_GRAPHICS_CORE_COMPLETO_SEM_DESKTOPS.md	current	critical	Composição completa de serviços gráficos X11 Wayland Labwc login e áudio sem GNOME KDE ou XFCE
