implementation_id	target	kind	path	status	validation	source_ids
IMP-PROJECT-START	PlayOS	project-entrypoint	start	implemented	bash-syntax-first-open-and-checksums	SRC-BUILD-RECREATE
IMP-KERNEL-OVERLAYS	Linux 7.1.8/Noble 6.8.4	kernel-overlays	Kernels/	implemented	checksum-pruned-49-files	SRC-KERNEL-OVERLAYS
IMP-NOBLE-PATCHSET	Ubuntu Noble 6.8.4	patchset	patch-FreeBSD-Noble/	implemented	build-generic-no-boot	SRC-NOBLE-BUILD,SRC-NOBLE-MANIFEST
IMP-NOBLE-KERNEL	Ubuntu Noble 6.8.4	artifact	build/playos-noble-generic/output/	implemented	sha256-initramfs-modules	SRC-NOBLE-BUILD
IMP-LINUX718-PATCHSET	Linux 7.1.8	patchset	patch-FreeBSD-Kernel-7.1.8/	implemented	build-no-boot	SRC-LINUX718-BUILD,SRC-LINUX718-MANIFEST
IMP-FBSD-REVERSE	FreeBSD 15.1	proposal-patchset	patch-linux7.1.8-FreeBSD/	planned	static-only	SRC-FBSD-PATCH-MANIFEST,SRC-FBSD-LINUX-REVERSE
IMP-FBSD-STUDIES	FreeBSD/Linux	study-kit	studies/freebsd15_sys_kern/	implemented	host-experiments	SRC-FBSD-STUDIES,SRC-FBSD-STUDY-KIT
IMP-FBSD-COMPAT	FreeBSD	userspace-policy	freebsd-compatibility/	planned	static-policy	SRC-FBSD-COMPAT,SRC-FBSD-COMPAT-MATRIX
IMP-NITROCORE	Linux concepts	prototype	nitrocore/	experimental	not-kernel-integrated	SRC-PROJECT-AUDIT
IMP-DOC-PORTAL	PlayOS Documentation	static-portal	documentation-portal/	implemented	generated-catalog-and-link-validation	SRC-DOC-PORTAL
IMP-NTSYNC-NOBLE	Ubuntu Noble 6.8.4	kernel-backport	patch-Linux7.1.8-Noble/	implemented	module-btf-no-runtime	SRC-NTSYNC-NOBLE,SRC-LINUX718-BUILD,SRC-NOBLE-BUILD
IMP-PLAYOS-KERNEL1	PlayOS Kernel 6.8.4	kernel-patchset	patch-Linux7.1.8-Noble/	implemented	bzimage-btf-no-boot	SRC-PLAYOS-KERNEL1,SRC-NTSYNC-NOBLE,SRC-LINUX718-BUILD
IMP-PLAYOS-KERNEL2	PlayOS Kernel 7.1.8	kernel-forward-port	patch-Noble-PlayOS-Kernel-7.1.8/	implemented	series-config-build-in-progress	SRC-PLAYOS-KERNEL2-MIGRATION,SRC-LINUX718-BUILD,SRC-RESOLUTE-VERIFY
IMP-PLAYOS-ISO-BUILD	PlayOS ISO	build-script	scripts/build-playos-iso.sh	implemented	automated-grub-and-volid	SRC-RESOLUTE-BUILD
IMP-PLAYOS-GRUB-CFG	PlayOS Menu	config	config/boot/grub-playos.cfg	implemented	baseline-branding-replacement	SRC-RESOLUTE-BUILD
IMP-PLAYOS-SUBIQUITY-CFG	Subiquity Branding	config	config/installer/subiquity-branding.yaml	implemented	override-config-template	SRC-RESOLUTE-BUILD
IMP-PLAYOS-POST-INSTALL	PlayOS Metamorphosis	script	scripts/nitro-post-install.sh	implemented	automated-branding-on-target	SRC-RESOLUTE-BUILD
IMP-PLAYOS-REBUILD-LIVE	Live CD Rebuild	script	scripts/rebuild-live-rootfs.sh	implemented	automated-squashfs-reconstruction	SRC-RESOLUTE-BUILD
IMP-PLAYOS-LIVE-CALAMARES-NODE	PlayOS Graphics Core Noble	live-installer	live-build/playos-graphics-core-noble/config/includes.chroot/etc/calamares/	implemented	static-profile-runtime-install-pending	SRC-PLAYOS-LIVE-CALAMARES-NODE
IMP-PLAYOS-LIVE-XFCE-CORE	PlayOS Noble Live	live-desktop-profile	live-build/playos-graphics-core-noble/	implemented	manifest-static-rebuild-runtime-pending	SRC-PLAYOS-LIVE-XFCE-CORE
IMP-PLAYOS-FIRST-ISO-BUILD	PlayOS Noble XFCE Calamares	iso-build	live-build/playos-graphics-core-noble/	built-static-audit	iso-sha256-bios-uefi-structure-manifest-no-runtime	SRC-PLAYOS-FIRST-ISO-PLAN
IMP-PLAYOS-HYBRID-INSTALLER	Calamares + Subiquity	hybrid-installer	live-build/playos-graphics-core-noble/config/includes.chroot/usr/lib/calamares/modules/	implemented	bridge-and-exec-logic-ready	SRC-PLAYOS-INSTALLER-DESKTOP-PROVISION
IMP-PLAYOS-LIVE-GNOME-CALAMARES	PlayOS Noble GNOME Calamares	live-desktop-profile	live-build/playos-graphics-core-noble-gnome/	implemented	lb-config-and-shell-syntax-validated-build-runtime-pending	SRC-PLAYOS-LIVE-GNOME-CALAMARES
IMP-PLAYOS-LIVE-XFCE-ONLY	PlayOS Noble XFCE Live-only	live-desktop-profile	live-build/playos-noble-xfce-live-only/	implemented	lb-config-shell-syntax-no-installer-static-audit-build-pending	SRC-PLAYOS-LIVE-XFCE-ONLY
IMP-PLAYOS-NOBLE-KERNEL-DEBIAN	PlayOS kernel Noble Debian userspace	architecture-plan	ARQUITETURA_PLAYOS_KERNEL_UBUNTU_NOBLE_USERSPACE_DEBIAN.md	planned	baseline-suite-kernel-artifact-build-runtime-pending	SRC-PLAYOS-NOBLE-KERNEL-DEBIAN
IMP-PLAYOS-LIVE-DEBIAN-XFCE-NOBLE	PlayOS Debian Trixie XFCE Noble kernel	live-build-profile	live-build/playos-debian-trixie-xfce-noble-kernel/	implemented	iso-sha256-bios-uefi-boot-userspace-network-passed-xfce-visual-hardware-pending	SRC-PLAYOS-LIVE-DEBIAN-XFCE-NOBLE,SRC-PLAYOS-LIVE-DEBIAN-XFCE-NOBLE-RUN
IMP-PLAYOS-LIVE-DEBIAN-GNOME-NOBLE	PlayOS Debian Trixie GNOME Noble kernel	live-build-profile	live-build/playos-debian-trixie-gnome-noble-kernel/	implemented	iso-built-sha256-and-bios-uefi-static-validation-passed-runtime-pending	SRC-PLAYOS-LIVE-DEBIAN-GNOME-NOBLE
