document_id	path	area	role	status
DOC-083	Kernels/RELATORIO_DIFERENCAS_KERNELS_2026-08-22.md	kernels	audit	current
DOC-001	ANALISE_ALTERACOES_2026-08-18.md	project	audit	current
DOC-002	ANALISE_PROJETO_2026-08-15.md	project	audit	historical
DOC-003	APLICACAO_FREEBSD15_NO_UBUNTU_RESOLUTE_2026-08-18.md	portability	report	current
DOC-004	ARQUITETURA_BOOT.md	boot	design	context
DOC-005	AUDITORIA_COMPLETA_DIRECAO_2026-08-18.md	project	audit	current
DOC-006	COMPARACAO_OPENBSD_FREEBSD.md	bsd-family	comparison	current
DOC-007	INSTALADOR.md	installer	design	context
DOC-008	INTEGRACAO_SYS_KERN_FREEBSD_NO_UBUNTU_2026-08-18.md	portability	decision	current
DOC-009	INTEGRACAO_TRIADE_BSD.md	bsd-family	proposal	experimental
DOC-010	LABORATORIO_KERNELS.md	kernels	lab-guide	current
DOC-011	LIVE_CD_FREEBSD.md	freebsd-live	analysis	current
DOC-012	LIVE_ISO_11_KERNELS.md	live-media	proposal	context
DOC-013	MACOS_TECH.md	other-os	note	context
DOC-014	MATRIZ_QUALIDADE.md	quality	matrix	current
DOC-015	MODO_JOGO_CAPSICUM.md	security	proposal	experimental
DOC-016	NITRO_SECURITY_DESIGN.md	nitrocore	design	experimental
DOC-017	NITRO_SWITCHER_DESIGN.md	nitrocore	design	experimental
DOC-018	ORBIS_FREEBSD_STEAMOS.md	gaming	proposal	context
DOC-019	ORBIS_FREEBSD_STEAMOS_INTEGRATION.md	gaming	proposal	context
DOC-020	ORBIS_OS.md	gaming	note	context
DOC-021	PLAN_ESTRATEGICO.md	project	plan	context
DOC-022	PLAYOS_ARQUITETURA_LINUX_FREEBSD_2026-08-18.md	playos	decision	current
DOC-023	PLAYOS_UNIFICADO_UBUNTU_FREEBSD_2026-08-18.md	playos	architecture	current
DOC-024	PORTABILIDADE_FREEBSD15_SYS_KERN_PARA_UBUNTU.md	portability	audit	current
DOC-025	PROGRESSO.md	project	log	current
DOC-026	RANKING_ARQUITETURA.md	project	ranking	context
